Heroe 1,Heroe 2,Resultado_Comics,Resultado_Peliculas,Resultado_Combinado
The Executioner,Nuidis Vulko,1,2,1
Kang the Conqueror,Heimdall,2,1,2
Proxima Midnight,Iron Spider,1,2,1
Shang-Chi,Green Lantern,1,2,1
Fenris,Killmonger,2,1,2
Valkyrie,Aquaman,1,2,1
Faora,Judomaster,1,2,1
Black Widow,King Shark,1,2,1
Ebony Maw,Cyclone,1,2,1
Wrath,Vigilante,2,1,2
Falcon,Ego,2,1,2
Superman,Giah,1,2,1
Steppenwolf,Ronan the Accuser,2,1,2
Jessica Jones,Darkseid,2,1,2
Chitauri Footsoldier,Wonder Woman,1,2,1
Groot,Vulture,1,2,1
Drax the Destroyer,Faora,2,1,2
The Flash,Yellowjacket,1,2,1
Baron Mordo,Parademon,1,2,1
Enchantress,Rescue,1,2,1
Whiplash,Gamora,2,1,2
Yellowjacket,Chitauri Footsoldier,2,1,2
Ghost,Bullseye,2,1,2
Polka-Dot Man,Ms. America,1,2,1
Bucky Barnes,Quicksilver,2,1,2
Sif,Mr. Fantastic (Earth-838),1,2,1
Cassandra Cain,Kingo,2,1,2
Odin,Nam-Ek,1,2,1
Envy,General Zod,2,1,2
Yondu,Baron Zemo,2,1,2
Ghost Rider,Vigilante,2,1,2
Nuidis Vulko,Ant-Man,1,2,1
Vulture,Yondu,1,2,1
She-Hulk,Eternity,2,1,2
Ocean Master,Thor,1,2,1
Ikaris,Vigilante,1,2,1
King Nereus,Gargantos,1,2,1
Deathlok,Destroyer,2,1,2
Freddy Freeman,Elektra,1,2,1
Talos the Untamed,Captain America,1,2,1
Loki (Variant L1130),Kingo,2,1,2
Sersi,Loki,2,1,2
Namor,White Wolf,1,2,1
Spectral Vision,Shang-Chi,1,2,1
Groot,Baby Groot,2,1,2
Captain America,Photon,1,2,1
Quake,Huntress,2,1,2
Katana,Dormammu,1,2,1
Pepper Potts (Extremis),Iron Spider,2,1,2
Hela,Black Panther,1,2,1
Black Widow (Variant),Red Skull,2,1,2
Cassandra Cain,The Collector,2,1,2
Hawkman,Jor-El,2,1,2
Heimdall,King Shark,2,1,2
Baby Groot,Loki (King of Asgard),1,2,1
Red Skull (Stonekeeper),Swole Groot,1,2,1
Ego,Ronin,1,2,1
Dark Flash,Rescue,2,1,2
Karathen,Scarlet Witch,1,2,1
Groot,Hawkeye (Variant),1,2,1
Odin,Ronan the Accuser (Power Stone),1,2,1
Dormammu,White Wolf,1,2,1
Black Widow (Variant),Ebony Maw,1,2,1
Red Skull (Stonekeeper),Dark Flash,2,1,2
Queen Hippolyta,Captain America,1,2,1
Ronin,Bullseye,1,2,1
Doctor Sivana,Katana,2,1,2
Zeus,Drax the Destroyer,1,2,1
Ancient One,Black Mask,1,2,1
Hawkeye,Gorr the God Butcher,2,1,2
Yondu,Star-Lord (Celestial Power),2,1,2
Lex Luthor,Hulk,1,2,1
Talos the Untamed,Ayo,1,2,1
Eternity,Malekith,2,1,2
Bullseye,She-Hulk,2,1,2
Fat Thor,Baron Mordo,1,2,1
Ares,Pepper Potts (Extremis),2,1,2
Teenage Groot,Black Bolt,2,1,2
Captain America (Worthy),Dark Flash,2,1,2
Darkseid,Dar-Benn,2,1,2
Superman,Cassandra Cain,2,1,2
Faora,Mysterio,2,1,2
Namor,Black Bolt,1,2,1
Shang-Chi,Mandarin,1,2,1
Iron Spider,Vision,1,2,1
Korath the Pursuer,Black Canary,1,2,1
Captain America (Worthy),Luke Cage,2,1,2
Thor (Pre-Ragnarok),Nuidis Vulko,2,1,2
Malekith,Batman,2,1,2
White Dragon,Judomaster,1,2,1
Polka-Dot Man,Aquaman,1,2,1
Fat Thor,Ronan the Accuser,1,2,1
Shang-Chi,Yellowjacket,1,2,1
War Machine,Nebula,1,2,1
Loki (Keeper of the Multiverse),El Diablo,2,1,2
Namor,Loki,1,2,1
Iron Man (Stark Gauntlet),Judomaster,2,1,2
Black Adam,War Machine,1,2,1
Outrider,Ronan the Accuser (Power Stone),1,2,1
Batman,Heimdall,1,2,1
Fat Thor,Groot,1,2,1
Starro,Dar-Benn,1,2,1
Ghost Rider,Black Mask,1,2,1
Smart Hulk,Mysterio,1,2,1
Cassandra Cain,Mighty Thor,2,1,2
Hawkeye,Iron Spider,1,2,1
Jessica Jones,Chitauri Footsoldier,1,2,1
Rescue,Chitauri Footsoldier,2,1,2
Slipknot,Outrider,2,1,2
Gorr the God Butcher,Envy,1,2,1
Judomaster,Doctor Strange,2,1,2
Sif,Incubus,1,2,1
Surtur,Black Bolt,2,1,2
Gravik,Wrath,1,2,1
Nomad,Drax the Destroyer,1,2,1
Daredevil,The Flash,1,2,1
Okoye,Heimdall,2,1,2
Thor (Awakened),Jor-El,1,2,1
Ajak,Arishem the Judge,1,2,1
Moon Knight,Baron Mordo,2,1,2
Captain Marvel,Mera,1,2,1
Sif,Giah,2,1,2
Baby Groot,Warlock,1,2,1
Korg,Star-Lord,1,2,1
Whiplash Mark II,MBaku,2,1,2
Thor (Awakened),Ultron,1,2,1
Gluttony,Black Widow,1,2,1
Jor-El,Iron Man (MK 1),2,1,2
Swole Groot,Superman,1,2,1
Vision,Loki (Variant L1130),2,1,2
Polka-Dot Man,Sabbac,2,1,2
Bloodsport,Ikaris,1,2,1
Sif,Okoye,1,2,1
Wrath,Ancient One,1,2,1
Thor (Pre-Ragnarok),Vigilante,2,1,2
Quake,Deathlok,1,2,1
Ghost Rider,Ultron,2,1,2
Lust,Fat Thor,1,2,1
Vision,Baron Mordo,2,1,2
Spider-Man,Kingpin,1,2,1
Destroyer,Mandarin,1,2,1
Superman,Iron Monger,2,1,2
Aquaman,Elektra,1,2,1
Sinister Strange,Ego,1,2,1
Cassandra Cain,Thor,2,1,2
Cheetah,Zeus,2,1,2
Mera,Jor-El,2,1,2
Black Canary,Freddy Freeman,2,1,2
Hawkman,Makkari,2,1,2
Kurse,Eternity,2,1,2
Shang-Chi,Gravik,1,2,1
Teenage Groot,Gilgamesh,2,1,2
General Zod,Ronin,1,2,1
Kingo,Rescue,1,2,1
Envy,Ratcatcher,2,1,2
Groot,Ronan the Accuser,1,2,1
Black Mask,Superman,1,2,1
Mandarin,Ms. America,2,1,2
Vulture,Photon,1,2,1
Doctor Sivana,Captain America,1,2,1
Cassandra Cain,Leo Fitz,2,1,2
Wanda Maximoff (Pre-Wandavision),Gorr the God Butcher,2,1,2
Photon,Shuri,2,1,2
Black Canary,Dormammu,1,2,1
Ayo,Black Canary,2,1,2
Dark Flash,MODOK,1,2,1
Mr. Knight,Chitauri Footsoldier,2,1,2
Iron Monger,Captain America,1,2,1
Red Skull,Ikaris,1,2,1
Nomad,Ronan the Accuser,1,2,1
Sol Soria,Parademon,2,1,2
Rick Flag,Gluttony,1,2,1
Atom Smasher,Spider-Man,1,2,1
Ratcatcher,Iron Spider,1,2,1
Wanda Maximoff (Pre-Wandavision),Doctor Sivana,2,1,2
Rick Flag,Iron Monger,1,2,1
Thanos (Infinity Gauntlet),Kid Loki,2,1,2
Penthesileia,Elektra,1,2,1
The Collector,Smart Hulk,2,1,2
Winter Soldier,Kaecilius,2,1,2
Taskmaster,Sinister Strange,1,2,1
Iron Man (MK 1),Batman,1,2,1
Ikaris,Star-Lord,1,2,1
Iron Man,Black Adam,1,2,1
Taskmaster,Agatha Harkness,1,2,1
Drax the Destroyer,Bucky Barnes,1,2,1
King Shark,Iron Man (Stark Gauntlet),1,2,1
Ultron,Hela,1,2,1
Ultron,Killmonger,1,2,1
Crossbones,Steppenwolf,2,1,2
Winter Soldier,Thanos (Infinity Gauntlet),1,2,1
Ancient One,Unworthy Thor,1,2,1
Odin,Doctor Strange,2,1,2
Surtur,Iron Fist,2,1,2
The Flash,Agatha Harkness,1,2,1
Ocean Master,Starro,2,1,2
Bullseye,Surtur,2,1,2
Corvus Glaive,Outrider,1,2,1
Bucky Barnes,Ares,2,1,2
The Great Protector,Wolverine,2,1,2
Wrath,Baby Groot,1,2,1
Mr. Fantastic (Earth-838),Giant-Man,1,2,1
Black Widow,King Nereus,2,1,2
Moon Knight,Black Panther,2,1,2
Wonder Woman,Arishem the Judge,2,1,2
Ocean Master,Outrider,1,2,1
Jessica Jones,Phastos,2,1,2
Winter Soldier,Freddy Freeman,1,2,1
Yondu,Aquaman,1,2,1
Baron Zemo,Swole Groot,1,2,1
Captain Marvel,Atom Smasher,2,1,2
Smart Hulk,Wrath,2,1,2
Ant-Man,Ancient One,2,1,2
Deathlok,Loki,2,1,2
Ancient One,Gravik,1,2,1
Ocean Master,Aquaman,2,1,2
Ghost,El Diablo,1,2,1
Heimdall,Hulk,1,2,1
Gargantos,Black Canary,1,2,1
Iron Fist,Ego,1,2,1
Sif,Rick Flag,1,2,1
Unworthy Thor,Sinister Strange,1,2,1
Ronan the Accuser (Power Stone),Spider-Man,2,1,2
Iron Man (MK 1),Fandral,1,2,1
Ghost Rider,Destroyer,1,2,1
Leo Fitz,Iron Man (Hulkbuster),1,2,1
Spectral Vision,The Executioner,2,1,2
Wrath,Makkari,2,1,2
Smart Hulk,Black Manta,1,2,1
Green Lantern,Thanos,1,2,1
Vision,Phastos,1,2,1
Rick Flag,Sersi (Uni-Mind),2,1,2
Warlock,Captain Carter (Earth-838),2,1,2
Ironheart,Ronan the Accuser,1,2,1
Ms. Marvel,Iron Man (MK 1),1,2,1
King Nereus,Shuri,1,2,1
Katana,Iron Spider,1,2,1
Cyborg,Dormammu,2,1,2
Fenris,Thena,2,1,2
Unworthy Thor,Baby Groot,1,2,1
Joker,Ayo,2,1,2
Leviathan,Sif,1,2,1
Polka-Dot Man,Malekith,1,2,1
Killer Croc,Destroyer,2,1,2
Doomsday,Spider-Man,2,1,2
Hawkman,Giant-Man,2,1,2
Black Widow (Variant),Starro,2,1,2
Enchantress,Malekith,2,1,2
Heimdall,Echo,2,1,2
Falcon,Joker,2,1,2
Malekith (Reality Stone),Wolverine,1,2,1
Cheetah,Ajak,1,2,1
Ikaris,Ocean Master,2,1,2
Loki (Variant L1130),Black Mask,2,1,2
Shuri,Corvus Glaive,1,2,1
The Punisher,Nomad,2,1,2
Elektra,Falcon,1,2,1
Loki,MBaku,1,2,1
Quake,Wrath,2,1,2
Queen Atlanna,Vision,1,2,1
Deadshot,Leo Fitz,2,1,2
El Diablo,Korath the Pursuer,2,1,2
Red Guardian,Loki (Keeper of the Multiverse),2,1,2
Red Skull,Bucky Barnes,1,2,1
Mr. Knight,Nomad,2,1,2
Deadshot,Iron Fist,2,1,2
Drax the Destroyer,Black Panther (Variant),2,1,2
White Dragon,Cyclone,1,2,1
The Executioner,Wong,1,2,1
Talos the Untamed,Black Widow,1,2,1
Mister Zsasz,Vision,2,1,2
Odin,Dark Flash,2,1,2
Kingpin,Corvus Glaive,2,1,2
Wasp,Rick Flag,1,2,1
Teenage Groot,Killian,2,1,2
General Zod,Makkari,2,1,2
Dormammu,Ares,1,2,1
Ajak,Cheetah,1,2,1
Fandral,Thena,2,1,2
Hulk,Ronan the Accuser (Power Stone),1,2,1
Sersi (Uni-Mind),Hulk,1,2,1
Shuri,Kaecilius,1,2,1
Thanos (Infinity Gauntlet),Whiplash Mark II,1,2,1
Jor-El,Iron Man (Stark Gauntlet),1,2,1
Katana,Freddy Freeman,2,1,2
Quake,The Executioner,1,2,1
Eternity,Atom Smasher,2,1,2
Wanda Maximoff (Pre-Wandavision),Zeus,2,1,2
Loki (Mind Stone),Star-Lord,1,2,1
Red Guardian,Unworthy Thor,2,1,2
The Collector,Black Canary,1,2,1
Surtur,The Punisher,2,1,2
Rick Flag,Freddy Freeman,1,2,1
High Evolutionary,Falcon,2,1,2
MBaku,Gravik,1,2,1
General Zod,Iron Man (Hulkbuster),1,2,1
Fenris,T.D.K.,2,1,2
Nebula,Arishem the Judge,2,1,2
Ancient One,Deadshot,2,1,2
Heimdall,Superman,1,2,1
Red Guardian,King Nereus,2,1,2
Superman,Ronan the Accuser,2,1,2
Ultron,Penthesileia,1,2,1
Thena,Drax the Destroyer,1,2,1
Hulk,Jor-El,2,1,2
Sersi (Uni-Mind),Bloodsport,2,1,2
Sinister Strange,Captain Carter (Earth-838),2,1,2
Swole Groot,Shuri,1,2,1
MBaku,Gargantos,1,2,1
Destroyer,Proxima Midnight,1,2,1
Cull Obsidian,Mandarin,1,2,1
Frigga,El Diablo,1,2,1
Nomad,Baron Mordo,1,2,1
Rocket Raccoon,Gluttony,1,2,1
Wolverine,Rocket Raccoon,2,1,2
Giah,Black Bolt,1,2,1
Namor,Iron Fist,1,2,1
Black Canary,Red Skull (Stonekeeper),1,2,1
Peacemaker,Surtur,2,1,2
Rescue,Jor-El,2,1,2
Loki (King of Asgard),Captain Marvel,1,2,1
Moon Knight,Wong,2,1,2
Ms. Marvel,Ms. America,2,1,2
Deadshot,Korath the Pursuer,2,1,2
Hawkeye,Batman,1,2,1
Quicksilver,Echo,2,1,2
Hawkeye (Variant),Bullseye,2,1,2
Polka-Dot Man,Ironheart,1,2,1
Odin,Valkyrie,2,1,2
Red Guardian,Quicksilver,2,1,2
The Flash,Savant,2,1,2
Giant-Man,Black Bolt,2,1,2
Black Bolt (Earth-838),Ayo,1,2,1
Photon,Arishem the Judge,2,1,2
War Machine,Stature,2,1,2
Baron Zemo,The Flash,1,2,1
Nebula,Iron Man (Stark Gauntlet),1,2,1
Rick Flag,Chitauri Footsoldier,1,2,1
Giah,Gluttony,2,1,2
Baron Mordo,Drax the Destroyer,1,2,1
Hawkeye (Variant),Giah,2,1,2
Bullseye,Captain America,2,1,2
Ronan the Accuser (Power Stone),Bloodsport,2,1,2
T.D.K.,Proxima Midnight,2,1,2
Black Mask,Leviathan,2,1,2
Bullseye,Parademon,2,1,2
Karathen,Unworthy Thor,2,1,2
Frigga,Gargantos,2,1,2
Black Bolt,Dormammu,1,2,1
Nuidis Vulko,Ronan the Accuser (Power Stone),2,1,2
Mr. Knight,Loki (King of Asgard),1,2,1
Wasp,Harley Quinn,1,2,1
Jor-El,Giant-Man,1,2,1
Starro,High Evolutionary,2,1,2
Envy,Superman,2,1,2
Fat Thor,Steppenwolf,2,1,2
Thanos (Infinity Gauntlet),Baron Mordo,1,2,1
Peacemaker,Sabbac,1,2,1
Kingo,Gargantos,1,2,1
Hela,Cheetah,2,1,2
General Zod,Black Bolt,1,2,1
Nam-Ek,Sif,2,1,2
Iron Man (Stark Gauntlet),Deathlok,1,2,1
Moon Knight,Bullseye,1,2,1
Smart Hulk,Polka-Dot Man,1,2,1
Wasp,Thanos,2,1,2
El Diablo,Swole Groot,2,1,2
Hulk,Iron Spider,1,2,1
Captain America (Worthy),Mandarin,1,2,1
Leviathan,Kang the Conqueror,1,2,1
Korath the Pursuer,Falcon,2,1,2
Doctor Sivana,Taskmaster,2,1,2
Rescue,Abomination,2,1,2
White Wolf,Black Widow,2,1,2
Cyborg,Hawkman,2,1,2
Gamora,Baby Groot,2,1,2
Mighty Thor,Malekith (Reality Stone),1,2,1
Shang-Chi,Captain America (Worthy),1,2,1
Hawkeye,Black Widow,2,1,2
Sif,Red Skull,1,2,1
Steppenwolf,Surtur,2,1,2
King Shark,Kingo,2,1,2
Darkseid,The Punisher,1,2,1
Destroyer,Black Bolt,1,2,1
Ares,Outrider,1,2,1
Pepper Potts (Extremis),Katana,2,1,2
Nomad,Wong,1,2,1
Outrider,Agatha Harkness,1,2,1
Mantis,Quicksilver,2,1,2
Vigilante,Shazam,2,1,2
Joker,Yondu,2,1,2
Rescue,Ironheart,2,1,2
White Wolf,Ancient One,1,2,1
Red Skull (Stonekeeper),Thanos,1,2,1
Ghost Rider,Luke Cage,2,1,2
Shang-Chi,Teenage Groot,2,1,2
Dark Flash,Doctor Sivana,1,2,1
Daredevil,Thor (Awakened),2,1,2
Baby Groot,Ronan the Accuser,2,1,2
Kid Loki,Vulture,2,1,2
El Diablo,Odin,2,1,2
Gorr the God Butcher,Teenage Groot,1,2,1
Queen Hippolyta,Red Skull,1,2,1
Aquaman,Black Panther (Variant),2,1,2
The Punisher,Wong,2,1,2
Whiplash Mark II,Black Bolt,2,1,2
Ghost Rider,Korath the Pursuer,1,2,1
Elektra,Sol Soria,2,1,2
Eternity,Cassandra Cain,2,1,2
Black Widow (Variant),Cull Obsidian,1,2,1
The Punisher,Ancient One,1,2,1
She-Hulk,Harley Quinn,1,2,1
Wolverine,Dormammu,1,2,1
Zeus,Thena,1,2,1
Jessica Jones,Fat Thor,1,2,1
Iron Fist,Batman,1,2,1
Deadshot,Black Panther,1,2,1
Stature,Iron Monger,2,1,2
Mr. Knight,Baron Zemo,1,2,1
Dormammu,Giant-Man,2,1,2
Mr. Fantastic (Earth-838),Abomination,1,2,1
Gorr the God Butcher,Kaecilius,2,1,2
Sersi (Uni-Mind),Lust,2,1,2
Quicksilver,Nebula,2,1,2
Hela,Ms. America,1,2,1
Batman,Sif,2,1,2
Ronan the Accuser,Daredevil,2,1,2
Atom Smasher,Agatha Harkness,2,1,2
Echo,The Great Protector,1,2,1
Incubus,Captain Boomerang,2,1,2
Ms. Marvel,Malekith (Reality Stone),1,2,1
Malekith (Reality Stone),Iron Fist,1,2,1
Black Panther,Sif,1,2,1
Killian,Makkari,2,1,2
Steppenwolf,Iron Man,2,1,2
Lex Luthor,Black Manta,2,1,2
Wanda Maximoff (Pre-Wandavision),Iron Man (MK 1),1,2,1
Sinister Strange,Odin,1,2,1
Kurse,Gluttony,1,2,1
The Punisher,Iron Man,2,1,2
Ancient One,Ayo,2,1,2
Red Skull,Gorr the God Butcher,1,2,1
Shang-Chi,Enchantress,1,2,1
Black Adam,Doctor Fate,2,1,2
Karathen,Lady Loki,1,2,1
Lust,Sinister Strange,2,1,2
King Shark,Black Canary,2,1,2
Freddy Freeman,Faora,2,1,2
Black Bolt (Earth-838),Dormammu,2,1,2
Kid Loki,Nam-Ek,1,2,1
Enchantress,Steppenwolf,1,2,1
Doctor Sivana,Corvus Glaive,2,1,2
Doctor Fate,Wrath,1,2,1
Bullseye,Cassandra Cain,2,1,2
Cassandra Cain,Hulk,2,1,2
Thor,Wanda Maximoff (Pre-Wandavision),1,2,1
Nick Fury,Wasp,2,1,2
Kingpin,Photon,1,2,1
Peacemaker,Black Widow,2,1,2
Philippus,Polka-Dot Man,2,1,2
Cyborg,Huntress,2,1,2
Ghost Rider,Kingo,1,2,1
Joker,Loki,1,2,1
Deadshot,Black Adam,1,2,1
Thor,Gargantos,1,2,1
Proxima Midnight,Karathen,2,1,2
Steppenwolf,Corvus Glaive,1,2,1
El Diablo,Wrath,2,1,2
The Punisher,Cyborg,2,1,2
El Diablo,Fenris,2,1,2
Peacemaker,Sol Soria,1,2,1
Freddy Freeman,The Punisher,2,1,2
Parademon,Huntress,2,1,2
Lust,Moon Knight,2,1,2
Hawkeye,Gluttony,2,1,2
Wasp,Deathlok,1,2,1
Korg,Sersi (Uni-Mind),2,1,2
Iron Man (Stark Gauntlet),Green Lantern,2,1,2
Swole Groot,Peacemaker,1,2,1
Shang-Chi,Leviathan,2,1,2
Vulture,Abomination,1,2,1
Mighty Thor,Ratcatcher,1,2,1
Lady Loki,Yondu,1,2,1
Iron Man (Hulkbuster),Swole Groot,1,2,1
Daredevil,Iron Monger,2,1,2
Sol Soria,Ironheart,2,1,2
Doctor Strange,Malekith (Reality Stone),2,1,2
Savant,Doctor Sivana,1,2,1
Wasp,Hulk,2,1,2
Chitauri Footsoldier,Gargantos,2,1,2
Unworthy Thor,Quicksilver,1,2,1
Kang the Conqueror,Echo,1,2,1
The Executioner,Winter Soldier,1,2,1
Kid Loki,Hawkeye,1,2,1
Wong,Eternity,2,1,2
Thor (Pre-Ragnarok),Star-Lord,2,1,2
Hulk,Hawkeye,1,2,1
Corvus Glaive,MBaku,1,2,1
Valkyrie,Bloodsport,1,2,1
She-Hulk,Unworthy Thor,2,1,2
High Evolutionary,Faora,1,2,1
Bullseye,Abomination,2,1,2
Unworthy Thor,Cassandra Cain,2,1,2
Shazam,Wong,2,1,2
Star-Lord,Ancient One,2,1,2
Loki (Keeper of the Multiverse),Cassandra Cain,2,1,2
Abomination,Rocket Raccoon,1,2,1
Jessica Jones,Black Manta,1,2,1
Crossbones,Groot,1,2,1
Savant,General Zod,2,1,2
Black Bolt,Corvus Glaive,1,2,1
Luke Cage,Savant,1,2,1
Loki (Keeper of the Multiverse),Black Panther (Variant),1,2,1
Green Lantern,Baron Zemo,1,2,1
Baron Mordo,Fenris,2,1,2
Wanda Maximoff (Pre-Wandavision),Mandarin,1,2,1
Hela,Phastos,2,1,2
Superman,Nick Fury,1,2,1
Sersi,Thanos,2,1,2
Atom Smasher,Kro,2,1,2
Ironheart,Ronin,2,1,2
Malekith,Luke Cage,1,2,1
Parademon,Ayo,1,2,1
Red Skull (Stonekeeper),Penthesileia,2,1,2
Kro,Ancient One,1,2,1
Elektra,Mr. Knight,2,1,2
Baron Zemo,Hulk (Stark Gauntlet),2,1,2
Cyclone,Thanos,1,2,1
Cheetah,Enchantress,1,2,1
Cyborg,Groot,1,2,1
Pepper Potts (Extremis),Yellowjacket,2,1,2
Karathen,Doctor Sivana,1,2,1
Giah,Swole Groot,1,2,1
Frigga,Shang-Chi,2,1,2
Thor,Nuidis Vulko,2,1,2
Ultron,Thor (Awakened),1,2,1
Killer Croc,Fenris,2,1,2
Surtur,Parademon,1,2,1
Iron Man (Stark Gauntlet),Sabbac,2,1,2
Ratcatcher,Thanos,1,2,1
Leo Fitz,Ronan the Accuser (Power Stone),1,2,1
Surtur,Stature,2,1,2
Bucky Barnes,Kro,2,1,2
Moon Knight,Mr. Fantastic (Earth-838),2,1,2
General Zod,Ancient One (Time Stone),2,1,2
Gargantos,Captain Carter (Earth-838),2,1,2
Ghost,Fenris,2,1,2
Darkseid,Bloodsport,2,1,2
Shazam,Cassandra Cain,2,1,2
Hulk,Star-Lord (Celestial Power),1,2,1
Iron Man (MK 1),Hela,2,1,2
Spider-Man,Bucky Barnes,1,2,1
Parademon,Red Skull (Stonekeeper),2,1,2
Wrath,Thor (Pre-Ragnarok),1,2,1
Mister Zsasz,Sabbac,2,1,2
Dar-Benn,T.D.K.,1,2,1
Black Panther (Variant),Harley Quinn,2,1,2
Jemiah the Analyzer,Hawkeye (Variant),2,1,2
Daredevil,The Collector,1,2,1
Wolverine,Makkari,2,1,2
Black Widow (Variant),Queen Hippolyta,2,1,2
Harley Quinn,Peacemaker,2,1,2
Iron Man (MK 1),Doctor Sivana,2,1,2
Malekith (Reality Stone),Korg,2,1,2
Malekith (Reality Stone),Cassandra Cain,2,1,2
Thena,Queen Hippolyta,1,2,1
Arishem the Judge,Thanos,1,2,1
Ebony Maw,Green Lantern,1,2,1
Black Bolt,Hawkeye,1,2,1
Namor,Dark Flash,2,1,2
Whiplash Mark II,Doctor Fate,2,1,2
Black Manta,Ares,2,1,2
Huntress,Loki (Mind Stone),2,1,2
Surtur,Gluttony,1,2,1
Hela,Cyclone,2,1,2
Harley Quinn,Parademon,1,2,1
Loki (Variant L1130),White Wolf,2,1,2
Eternity,Faora,1,2,1
Captain America,Ancient One (Time Stone),1,2,1
Wolverine,Daredevil,1,2,1
Loki (King of Asgard),Bloodsport,2,1,2
Kang the Conqueror,Okoye,1,2,1
Moon Knight,Deathlok,2,1,2
Shang-Chi,King Shark,2,1,2
Smart Hulk,The Grandmaster,2,1,2
Batman,Karathen,2,1,2
Enchantress,Black Widow,2,1,2
Killer Croc,Nuidis Vulko,1,2,1
Moon Knight,Iron Man (MK 1),1,2,1
Loki (King of Asgard),Green Lantern,1,2,1
Loki,She-Hulk,2,1,2
Thor (Awakened),Wasp,1,2,1
Black Bolt,Ironheart,2,1,2
The Great Protector,Kro,2,1,2
Phastos,Luke Cage,2,1,2
Parademon,Groot,1,2,1
Ms. Marvel,Sol Soria,1,2,1
Dormammu,Shang-Chi,1,2,1
Jessica Jones,Doomsday,2,1,2
Black Canary,T.D.K.,2,1,2
The Great Protector,Mighty Thor,2,1,2
Iron Monger,The Executioner,1,2,1
Daredevil,Pepper Potts (Extremis),2,1,2
Nomad,Enchantress,2,1,2
Giah,Ego,1,2,1
Doctor Strange,Aquaman,1,2,1
Giah,Ms. Marvel,1,2,1
Nick Fury,Unworthy Thor,1,2,1
Bullseye,Mera,1,2,1
Wasp,Hulk (Stark Gauntlet),1,2,1
Lady Loki,Winter Soldier,1,2,1
Photon,Loki (King of Asgard),2,1,2
Black Manta,Arishem the Judge,2,1,2
Faora,Kang the Conqueror,2,1,2
The Executioner,Freddy Freeman,1,2,1
Wanda Maximoff (Pre-Wandavision),Loki (Variant L1130),2,1,2
Mantis,Savant,1,2,1
Odin,Mighty Thor,1,2,1
Eternity,Shuri,1,2,1
Polka-Dot Man,Mysterio,1,2,1
Doctor Strange,Yondu,1,2,1
Eternity,Quicksilver,1,2,1
Abomination,Luke Cage,1,2,1
Ms. Marvel,Wanda Maximoff (Pre-Wandavision),1,2,1
Parademon,Wong,1,2,1
Rocket Raccoon,Captain Marvel,2,1,2
Shuri,Steppenwolf,1,2,1
Batman,Vulture,2,1,2
Rick Flag,Mighty Thor,2,1,2
Shang-Chi,Karathen,2,1,2
Loki,Chitauri Footsoldier,2,1,2
Gorr the God Butcher,Cyclone,2,1,2
Dark Flash,Baby Groot,2,1,2
Iron Man (Stark Gauntlet),Captain Marvel,2,1,2
Drax the Destroyer,Thor (Awakened),1,2,1
Black Manta,Baron Mordo,1,2,1
Quicksilver,Queen Hippolyta,2,1,2
Sif,Killer Croc,1,2,1
Gamora,Nam-Ek,2,1,2
Okoye,Jemiah the Analyzer,2,1,2
Sif,Green Lantern,2,1,2
Thor (Awakened),Giant-Man,1,2,1
Warlock,MODOK,2,1,2
Spectral Vision,Red Guardian,2,1,2
Leo Fitz,Gravik,1,2,1
Penthesileia,Fenris,2,1,2
Deathlok,Black Manta,1,2,1
Gluttony,Jor-El,1,2,1
Black Widow (Variant),Outrider,1,2,1
Groot,Sersi (Uni-Mind),2,1,2
Envy,Green Lantern,2,1,2
War Machine,Korg,1,2,1
Black Bolt,Ares,1,2,1
Cull Obsidian,Sersi (Uni-Mind),1,2,1
Ocean Master,Incubus,2,1,2
Odin,Mera,1,2,1
Photon,Giant-Man,1,2,1
Slipknot,Whiplash,2,1,2
Scarlet Witch,Wong,1,2,1
Whiplash Mark II,Loki (Variant L1130),1,2,1
Iron Man (MK 1),Iron Spider,1,2,1
She-Hulk,Ancient One (Time Stone),1,2,1
Nebula,Namor,2,1,2
Doctor Fate,Huntress,1,2,1
Sol Soria,Hawkeye,1,2,1
Quicksilver,MODOK,2,1,2
Ultron,Falcon,1,2,1
The Great Protector,Wanda Maximoff (Pre-Wandavision),2,1,2
Arishem the Judge,Kid Loki,1,2,1
Cyclone,Vulture,2,1,2
Ego,Doctor Fate,1,2,1
Philippus,Shazam,1,2,1
Rocket Raccoon,Joker,2,1,2
Malekith (Reality Stone),Pepper Potts (Extremis),2,1,2
Gorr the God Butcher,Polka-Dot Man,1,2,1
Dormammu,Mantis,2,1,2
Kang the Conqueror,Judomaster,2,1,2
Spectral Vision,Agatha Harkness,1,2,1
Odin,Iron Man,2,1,2
Bucky Barnes,Chitauri Footsoldier,1,2,1
Captain America,Yondu,1,2,1
Bullseye,Star-Lord (Celestial Power),1,2,1
Iron Monger,Corvus Glaive,2,1,2
Outrider,Freddy Freeman,2,1,2
Pepper Potts (Extremis),White Wolf,2,1,2
Heimdall,Destroyer,1,2,1
Doomsday,Darkseid,1,2,1
Gilgamesh,Makkari,2,1,2
Cyclone,General Zod,1,2,1
Captain Carter (Earth-838),Star-Lord (Celestial Power),2,1,2
Dar-Benn,Phastos,2,1,2
Giant-Man,Wonder Woman,1,2,1
Cassandra Cain,Wrath,2,1,2
Black Manta,Giah,2,1,2
Malekith (Reality Stone),Ebony Maw,1,2,1
